rama_ciencias,codigo_carrera,carrera,entidad,Matricula_Total,Matricula_Mujeres,Matricula_Hombres,Diferencia_Genero,Curso_Academico,Ano_Inicio_Curso
Ciencias Pedagógicas,73600.0,EDUCACIÓN  PEDAGOGÍA PSICOLOGÍA,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2020-2021,2020
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2021-2022,2021
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2022-2023,2022
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2023-2024,2023
Ciencias Pedagógicas,73500.0,EDUCACIÓN AGROPECUARIA,CUJAE,0.0,0.0,0.0,0.0,2024-2025,2024
Ciencias Pedagógicas,75000.0,EDUCACIÓN ARTÍSTICA,CUJAE,0.0,0.0,0.0,0.0,2015-2016,2015
Ciencias Pedagógicas,75000.0,EDUCACIÓN ARTÍSTICA,CUJAE,0.0,0.0,0.0,0.0,2016-2017,2016
Ciencias Pedagógicas,75000.0,EDUCACIÓN ARTÍSTICA,CUJAE,0.0,0.0,0.0,0.0,2017-2018,2017
Ciencias Pedagógicas,75000.0,EDUCACIÓN ARTÍSTICA,CUJAE,0.0,0.0,0.0,0.0,2019-2020,2019
